Ano,Pos,Clube,Jf,Vf,Ef,Df,GPf,GCf,SDf,Ptsf,Ptsf/Jf
2022,2,Internacional,19,7,8,4,18,17,1,29,1.53
2022,3,Fluminense,19,9,4,6,24,21,3,31,1.63
2022,4,Corinthians,19,6,7,6,20,25,-5,25,1.32
2022,5,Flamengo,19,7,5,7,23,24,-1,26,1.37
2022,6,Atl Paranaense,19,5,4,10,17,31,-14,19,1.0
2022,7,Atlético Mineiro,19,7,8,4,20,19,1,29,1.53
2022,8,Fortaleza,19,8,2,9,22,26,-4,26,1.37
2022,9,São Paulo,19,5,9,5,23,21,2,24,1.26
2022,10,América (MG),19,6,4,9,18,22,-4,22,1.16
2022,11,Botafogo (RJ),19,9,4,6,23,24,-1,31,1.63
2022,12,Santos,19,4,6,9,16,22,-6,18,0.95
2022,13,Goiás,19,5,5,9,20,31,-11,20,1.05
2022,14,Bragantino,19,3,6,10,20,36,-16,15,0.79
2022,15,Coritiba,19,1,2,16,14,44,-30,5,0.26
2022,16,Cuiabá,19,4,3,12,14,27,-13,15,0.79
2022,17,Ceará,19,3,8,8,14,19,-5,17,0.89
2022,18,Atl Goianiense,19,2,7,10,17,34,-17,13,0.68
2022,19,Avaí,19,2,4,13,10,34,-24,10,0.53
2022,20,Juventude,19,1,4,14,11,42,-31,7,0.37
