Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
12,Internacional,19,8,6,5,29,22,+7,30,1.58,28.8,26.3,+2.5,+0.13,19,4,6,9,15,20,-5,18,0.95,21.9,28.2,-6.3,-0.33
13,São Paulo,19,7,9,3,18,15,+3,30,1.58,24.2,15.9,+8.3,+0.43,19,4,6,9,13,24,-11,18,0.95,21.3,25.7,-4.4,-0.23
14,Atl Paranaense,19,8,5,6,23,21,+2,29,1.53,25.9,20.6,+5.2,+0.27,19,5,3,11,18,24,-6,18,0.95,15.9,24.8,-8.9,-0.47
15,Cuiabá,19,7,6,6,18,20,-2,27,1.42,23.7,19.5,+4.2,+0.22,19,3,11,5,16,17,-1,20,1.05,12.9,25.9,-13.0,-0.69
16,Juventude,19,9,6,4,19,15,+4,33,1.74,20.9,16.9,+3.9,+0.21,19,2,7,10,17,29,-12,13,0.68,16.6,25.4,-8.8,-0.46
17,Grêmio,19,8,6,5,29,21,+8,30,1.58,31.3,17.9,+13.4,+0.70,19,4,1,14,15,30,-15,13,0.68,19.3,25.3,-6.0,-0.32
18,Bahia,19,8,5,6,27,22,+5,29,1.53,27.3,20.4,+6.8,+0.36,19,3,5,11,15,29,-14,14,0.74,18.3,25.8,-7.5,-0.39
19,Sport Recife,19,5,7,7,13,13,0,22,1.16,23.3,21.8,+1.6,+0.08,19,4,4,11,11,24,-13,16,0.84,16.5,28.9,-12.4,-0.65
20,Chapecoense,19,0,6,13,13,32,-19,6,0.32,20.1,29.5,-9.4,-0.50,19,1,6,12,14,35,-21,9,0.47,19.5,35.9,-16.4,-0.86
1,Palmeiras,19,13,4,2,39,12,+27,43,2.26,40.9,13.1,+27.8,+1.47,19,10,8,1,27,15,+12,38,2.00,28.3,20.4,+8.0,+0.42
2,Internacional,19,13,5,1,40,14,+26,44,2.32,34.8,20.9,+14.0,+0.73,19,7,8,4,18,17,+1,29,1.53,21.0,24.2,-3.2,-0.17
3,Fluminense,19,12,3,4,39,20,+19,39,2.05,28.9,15.4,+13.5,+0.71,19,9,4,6,24,21,+3,31,1.63,21.2,24.9,-3.8,-0.20
4,Corinthians,19,12,4,3,24,11,+13,40,2.11,23.2,16.1,+7.0,+0.37,19,6,7,6,20,25,-5,25,1.32,17.7,24.9,-7.2,-0.38
5,Flamengo,19,11,3,5,37,15,+22,36,1.89,38.2,15.0,+23.2,+1.22,19,7,5,7,23,24,-1,26,1.37,27.2,20.8,+6.3,+0.33
6,Atl Paranaense,19,11,6,2,31,17,+14,39,2.05,27.9,21.1,+6.7,+0.35,19,5,4,10,17,31,-14,19,1.00,19.2,27.3,-8.1,-0.43
7,Atlético Mineiro,19,8,5,6,25,18,+7,29,1.53,29.7,15.5,+14.2,+0.75,19,7,8,4,20,19,+1,29,1.53,24.4,18.2,+6.2,+0.33
8,Fortaleza,19,7,8,4,24,13,+11,29,1.53,27.2,16.0,+11.1,+0.59,19,8,2,9,22,26,-4,26,1.37,17.3,26.9,-9.6,-0.51
9,São Paulo,19,8,6,5,32,21,+11,30,1.58,26.3,18.1,+8.2,+0.43,19,5,9,5,23,21,+2,24,1.26,23.4,26.2,-2.8,-0.15
10,América (MG),19,9,4,6,22,18,+4,31,1.63,23.9,19.4,+4.5,+0.24,19,6,4,9,18,22,-4,22,1.16,21.7,30.4,-8.7,-0.46
11,Botafogo (RJ),19,6,4,9,18,19,-1,22,1.16,20.6,20.6,0.0,0.00,19,9,4,6,23,24,-1,31,1.63,20.5,29.7,-9.3,-0.49
12,Santos,19,8,5,6,28,19,+9,29,1.53,30.7,23.4,+7.4,+0.39,19,4,6,9,16,22,-6,18,0.95,15.5,24.6,-9.2,-0.48
13,Goiás,19,6,8,5,20,22,-2,26,1.37,17.6,26.4,-8.8,-0.46,19,5,5,9,20,31,-11,20,1.05,17.1,35.3,-18.2,-0.96
14,Bragantino,19,8,5,6,29,23,+6,29,1.53,32.6,19.0,+13.6,+0.72,19,3,6,10,20,36,-16,15,0.79,20.0,30.6,-10.5,-0.55
15,Coritiba,19,11,4,4,25,16,+9,37,1.95,23.4,20.9,+2.5,+0.13,19,1,2,16,14,44,-30,5,0.26,18.9,32.7,-13.8,-0.72
16,Cuiabá,19,6,8,5,17,15,+2,26,1.37,26.2,20.7,+5.5,+0.29,19,4,3,12,14,27,-13,15,0.79,14.9,27.2,-12.3,-0.65
17,Ceará,19,4,8,7,20,22,-2,20,1.05,22.0,22.4,-0.4,-0.02,19,3,8,8,14,19,-5,17,0.89,21.9,25.5,-3.6,-0.19
18,Atl Goianiense,19,6,5,8,22,23,-1,23,1.21,25.7,21.1,+4.6,+0.24,19,2,7,10,17,34,-17,13,0.68,17.4,30.1,-12.8,-0.67
19,Avaí,19,7,4,8,24,26,-2,25,1.32,26.0,29.7,-3.7,-0.20,19,2,4,13,10,34,-24,10,0.53,18.0,32.9,-14.9,-0.78
20,Juventude,19,2,9,8,18,27,-9,15,0.79,22.3,21.8,+0.4,+0.02,19,1,4,14,11,42,-31,7,0.37,11.2,35.2,-24.1,-1.27
