Ano,Pos,Clube,Jc,Vc,Ec,Dc,GPc,GCc,SDc,Ptsc,Ptsc/Jc
2021,8,América (MG),19,9,6,4,22,11,11,33,1.74
2021,9,Atl Goianiense,19,6,10,3,17,14,3,28,1.47
2021,10,Santos,19,9,6,4,21,14,7,33,1.74
2021,11,Ceará,19,10,7,2,24,14,10,37,1.95
2021,12,Internacional,19,8,6,5,29,22,7,30,1.58
2021,13,São Paulo,19,7,9,3,18,15,3,30,1.58
2021,14,Atl Paranaense,19,8,5,6,23,21,2,29,1.53
2021,15,Cuiabá,19,7,6,6,18,20,-2,27,1.42
2021,16,Juventude,19,9,6,4,19,15,4,33,1.74
2021,17,Grêmio,19,8,6,5,29,21,8,30,1.58
2021,18,Bahia,19,8,5,6,27,22,5,29,1.53
2021,19,Sport Recife,19,5,7,7,13,13,0,22,1.16
2021,20,Chapecoense,19,0,6,13,13,32,-19,6,0.32
2022,1,Palmeiras,19,13,4,2,39,12,27,43,2.26
2022,2,Internacional,19,13,5,1,40,14,26,44,2.32
2022,3,Fluminense,19,12,3,4,39,20,19,39,2.05
2022,4,Corinthians,19,12,4,3,24,11,13,40,2.11
2022,5,Flamengo,19,11,3,5,37,15,22,36,1.89
2022,6,Atl Paranaense,19,11,6,2,31,17,14,39,2.05
2022,7,Atlético Mineiro,19,8,5,6,25,18,7,29,1.53
2022,8,Fortaleza,19,7,8,4,24,13,11,29,1.53
2022,9,São Paulo,19,8,6,5,32,21,11,30,1.58
2022,10,América (MG),19,9,4,6,22,18,4,31,1.63
2022,11,Botafogo (RJ),19,6,4,9,18,19,-1,22,1.16
2022,12,Santos,19,8,5,6,28,19,9,29,1.53
2022,13,Goiás,19,6,8,5,20,22,-2,26,1.37
2022,14,Bragantino,19,8,5,6,29,23,6,29,1.53
2022,15,Coritiba,19,11,4,4,25,16,9,37,1.95
2022,16,Cuiabá,19,6,8,5,17,15,2,26,1.37
2022,17,Ceará,19,4,8,7,20,22,-2,20,1.05
2022,18,Atl Goianiense,19,6,5,8,22,23,-1,23,1.21
2022,19,Avaí,19,7,4,8,24,26,-2,25,1.32
2022,20,Juventude,19,2,9,8,18,27,-9,15,0.79
